Month,Day,Hour,SGP_ARM_Fixed_Tilt,SGP_ARM_Single-Axis,SGP_ARM_Dual-Axis,SGP_ARM_Vertical_Bifacial,SGP_NSRDB_Fixed_Tilt,SGP_NSRDB_Single-Axis,SGP_NSRDB_Dual-Axis,SGP_NSRDB_Vertical_Bifacial
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,8.580656974277959,7.710517262992022,5.3162747148299525,8.769202211060604,-0.0,-0.0,-0.0,-0.0
1,1,9,39.629241082385924,36.65175185403603,30.33526124307115,40.56732713649446,-0.0,-0.0,-0.0,-0.0
1,1,10,81.3655723737255,74.27970392415193,71.01251525991611,80.85212338567578,-0.0,-0.0,-0.0,-0.0
1,1,11,126.6348218300115,126.32924776518571,116.48060088130308,117.67329747612924,-0.0,-0.0,-0.0,-0.0
1,1,12,129.69321340095962,140.86230861870757,119.84288371637103,116.19634305980671,-0.0,-0.0,-0.0,-0.0
1,1,13,151.92865435413913,150.94531597570713,141.94640028886792,133.59726144004438,-0.0,-0.0,-0.0,-0.0
1,1,14,149.67917166335755,133.17392785378362,141.49779710455354,135.60771777347892,228.22042760527282,175.16722109841803,288.5481665850862,104.54626015238952
1,1,15,84.85937399962414,79.58694346497386,77.2412137202893,83.32794373120049,473.21843637161334,474.5019652491023,704.7695156305516,349.7008168510659
1,1,16,24.64544206348765,23.199936671904073,18.548051722961446,24.84011514884195,61.750255438389736,65.93565932170917,71.33819037134276,58.01889642698951
1,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,8,50.715491806038216,56.23492134366485,101.22820746700458,64.36484736408272,-0.0,-0.0,-0.0,-0.0
1,2,9,204.10045567649664,207.8624734237226,289.68286293909364,219.92621494479857,-0.0,-0.0,-0.0,-0.0
1,2,10,282.7394391597816,239.4398028327927,322.7323897457903,233.24222203921724,-0.0,-0.0,-0.0,-0.0
1,2,11,176.96618942130863,169.54570138101639,168.17827524924795,155.03307381561623,-0.0,-0.0,-0.0,-0.0
1,2,12,130.28437086766044,141.16369323729427,120.59972541532086,116.30757233521221,-0.0,-0.0,-0.0,-0.0
1,2,13,88.03233271940557,92.36072422558036,78.93110442863555,84.68031022759835,-0.0,-0.0,-0.0,-0.0
1,2,14,56.48186887832262,52.01803540437044,47.41499629602535,57.121427043469716,240.41922335447998,184.32794016119718,303.090385577988,109.10651388724588
1,2,15,55.76297372414079,51.84124288297037,46.116372068638796,55.988005378290055,472.24903791059404,473.1627448222399,700.2580643994265,349.2641313445507
1,2,16,142.95989324099503,159.11338476080238,261.088251834328,123.2516462015443,336.6047737317547,385.5570896790731,598.7644295343625,289.5080349492802
